name,rating,users_count,tags,link
Isomorphic Strings,2300,20,"hashing, strings",https://codeforces.com/problemset/problem/985/F
Mike and Foam,2300,14,number theory,https://codeforces.com/problemset/problem/548/E
Boxes And Balls,2300,23,"data structures, greedy",https://codeforces.com/problemset/problem/884/D
"Points, Lines and Ready-made Titles",2300,17,"dfs and similar, graphs",https://codeforces.com/problemset/problem/871/C
Pursuit For Artifacts,2300,18,"dfs and similar, dsu, graphs, trees",https://codeforces.com/problemset/problem/652/E
Wizard's Tour,2300,2,dfs and similar,https://codeforces.com/problemset/problem/861/F
Wizard's Tour,2300,19,"dfs and similar, graphs, greedy",https://codeforces.com/problemset/problem/860/D
MEX Queries,2300,24,"binary search, data structures, trees",https://codeforces.com/problemset/problem/817/F
Convex Countour,2300,22,dp,https://codeforces.com/problemset/problem/838/E
Illusions of the Desert,2300,24,"data structures, trees",https://codeforces.com/problemset/problem/1575/I
Building an Amusement Park,2300,29,"binary search, geometry",https://codeforces.com/problemset/problem/1575/B
Santa Clauses and a Soccer Championship,2300,1,trees,https://codeforces.com/problemset/problem/752/F
Deciphering,2300,7,"flows, graph matchings",https://codeforces.com/problemset/problem/491/C
Array GCD,2300,46,"dp, greedy, number theory",https://codeforces.com/problemset/problem/623/B
Painting Square,2300,20,"dp, fft",https://codeforces.com/problemset/problem/300/D
Nearest vectors,2300,41,"geometry, sortings",https://codeforces.com/problemset/problem/598/C
Hiking,2300,9,"binary search, dp",https://codeforces.com/problemset/problem/489/E
Rectangle Painting 1,2300,12,dp,https://codeforces.com/problemset/problem/1199/F
Shortest Path Problem?,2300,16,"dfs and similar, graphs, math",https://codeforces.com/problemset/problem/845/G
Fence Divercity,2300,7,"combinatorics, dp, number theory",https://codeforces.com/problemset/problem/659/G
Wizards and Numbers,2300,3,"games, math",https://codeforces.com/problemset/problem/168/E
Pasha and Pipe,2300,2,"binary search, brute force, combinatorics, dp, implementation",https://codeforces.com/problemset/problem/518/F
Coprime Arrays,2300,15,"math, number theory",https://codeforces.com/problemset/problem/915/G
Lomsat gelral,2300,57,"data structures, dfs and similar, dsu, trees",https://codeforces.com/problemset/problem/600/E
Guess Your Way Out! II,2300,17,"data structures, implementation, sortings",https://codeforces.com/problemset/problem/558/D
String Multiplication,2300,26,"dp, greedy, strings",https://codeforces.com/problemset/problem/1131/E
(Zero XOR Subset)-less,2300,14,"math, matrices",https://codeforces.com/problemset/problem/1101/G
The Child and Sequence,2300,16,"data structures, math",https://codeforces.com/problemset/problem/438/D
Sereja and Squares,2300,26,"binary search, data structures, hashing",https://codeforces.com/problemset/problem/425/D
Beautiful Pairs of Numbers,2300,11,"combinatorics, dp",https://codeforces.com/problemset/problem/403/D
New Game with a Chess Piece,2300,7,games,https://codeforces.com/problemset/problem/36/D
Sonya and Informatics,2300,9,"combinatorics, dp, matrices, probabilities",https://codeforces.com/problemset/problem/1151/F
Segment Sum,2300,18,"bitmasks, combinatorics, dp, math",https://codeforces.com/problemset/problem/1073/E
Vasya and Magic Matrix,2300,36,"dp, math, probabilities",https://codeforces.com/problemset/problem/1042/E
Bracket Substring,2300,11,"dp, strings",https://codeforces.com/problemset/problem/1015/F
Warrior and Archer,2300,5,games,https://codeforces.com/problemset/problem/595/C
Nudist Beach,2300,23,"binary search, graphs, greedy",https://codeforces.com/problemset/problem/553/D
Bear in the Field,2300,3,"math, matrices",https://codeforces.com/problemset/problem/385/E
Antimatter,2300,27,dp,https://codeforces.com/problemset/problem/383/D
Drazil and Park,2300,2,data structures,https://codeforces.com/problemset/problem/515/E
Minimal Labels,2300,34,"data structures, dfs and similar, graphs, greedy",https://codeforces.com/problemset/problem/825/E
A Simple Task,2300,6,"data structures, sortings, strings",https://codeforces.com/problemset/problem/558/E
Arithmetic Operations,2300,6,"brute force, graphs, math",https://codeforces.com/problemset/problem/1652/E
Cost Equilibrium,2300,23,"combinatorics, constructive algorithms, math, sortings",https://codeforces.com/problemset/problem/1513/E
Devu and Flowers,2300,10,"bitmasks, combinatorics, number theory",https://codeforces.com/problemset/problem/451/E
Pattern Matching,2300,24,"bitmasks, data structures, dfs and similar, graphs, hashing, sortings, strings",https://codeforces.com/problemset/problem/1476/E
Knapsack,2300,44,"dfs and similar, dp, greedy",https://codeforces.com/problemset/problem/1132/E
Empire Strikes Back,2300,6,"binary search, math, number theory",https://codeforces.com/problemset/problem/300/E
Xenon's Attack on the Gangs,2300,5,"combinatorics, dp, greedy, trees",https://codeforces.com/problemset/problem/1293/E
Beautiful Rectangle,2300,5,"brute force, combinatorics, constructive algorithms, greedy, math",https://codeforces.com/problemset/problem/1277/F
Curfew,2300,26,"binary search, brute force, greedy, sortings",https://codeforces.com/problemset/problem/949/D
Similar Words,2300,16,"dp, hashing, strings, trees",https://codeforces.com/problemset/problem/856/B
Downloading B++,2300,29,"binary search, implementation",https://codeforces.com/problemset/problem/883/C
Warrior and Archer,2300,7,games,https://codeforces.com/problemset/problem/594/A
Guess the Tree,2300,33,"bitmasks, constructive algorithms, dp, greedy, trees",https://codeforces.com/problemset/problem/429/C
Take-off Ramps,2300,8,"graphs, shortest paths",https://codeforces.com/problemset/problem/141/D
Polycarp's problems,2300,7,"binary search, dp, greedy",https://codeforces.com/problemset/problem/727/F
Product Oriented Recurrence,2300,28,"dp, math, matrices, number theory",https://codeforces.com/problemset/problem/1182/E
Stressful Training,2300,49,"binary search, greedy",https://codeforces.com/problemset/problem/1132/D
Steps to One,2300,27,"dp, math, number theory, probabilities",https://codeforces.com/problemset/problem/1139/D
Anthem of Berland,2300,24,"dp, strings",https://codeforces.com/problemset/problem/808/G
Restoring the Expression,2300,21,"brute force, hashing, math",https://codeforces.com/problemset/problem/898/F
"Points, Lines and Ready-made Titles",2300,3,"dfs and similar, dsu, graphs, trees",https://codeforces.com/problemset/problem/870/E
Big Number and Remainder,2300,3,"*special, brute force, number theory",https://codeforces.com/problemset/problem/795/E
Complete The Graph,2300,1,"graphs, shortest paths",https://codeforces.com/problemset/problem/716/D
Chemistry in Berland,2300,39,"dfs and similar, greedy, trees",https://codeforces.com/problemset/problem/846/E
Selling Souvenirs,2300,46,"binary search, dp, greedy, ternary search",https://codeforces.com/problemset/problem/808/E
Maximum path,2300,20,"dp, greedy, implementation",https://codeforces.com/problemset/problem/762/D
Different Subsets For All Tuples,2300,8,"combinatorics, math",https://codeforces.com/problemset/problem/660/E
Zbazi in Zeydabad,2300,9,"data structures, implementation",https://codeforces.com/problemset/problem/628/E
Little Artem and Graph,2300,4,dp,https://codeforces.com/problemset/problem/668/F
Fafa and Ancient Mathematics,2300,11,"dfs and similar, dp, trees",https://codeforces.com/problemset/problem/935/E
Anton and School - 2,2300,9,"combinatorics, dp, math, number theory",https://codeforces.com/problemset/problem/785/D
Wizard's Tour,2300,2,"constructive algorithms, dfs and similar, graphs",https://codeforces.com/problemset/problem/858/F
Leaving the Bar,2300,1,"brute force, data structures, geometry, greedy, math, sortings",https://codeforces.com/problemset/problem/996/E
Hemose in ICPC ?,2300,15,"binary search, dfs and similar, implementation, interactive, math, number theory, trees",https://codeforces.com/problemset/problem/1592/D
Tourist Reform,2300,15,"dfs and similar, graphs",https://codeforces.com/problemset/problem/732/F
Hyperspace Highways,2300,1,"dfs and similar, graphs, trees",https://codeforces.com/problemset/problem/1046/B
Say Hello,2300,1,geometry,https://codeforces.com/problemset/problem/1046/I
